river,time,span_km,n_nodes,d_lo,d_hi,length_km
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,47,68.43760039913428,82.44078347586172,14.003183076727439
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,10,84.82368315975889,86.81244548232885,1.9887623225699684
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,31,93.58373585952496,99.5617028969982,5.977967037473235
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,12,100.35677286918526,104.16147729941808,3.8047044302328175
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,27,109.54062991213281,117.88794516127876,8.34731524914595
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,16,121.50365149458173,125.72448966842718,4.220838173845451
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,22,126.52549132308732,131.89105597766647,5.3655646545791456
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,16,136.09637172082648,142.68097063857243,6.58459891774595
Selawik,2023-09-07 18:56:02+00:00,122.04416055007593,37,147.29792564453743,166.30355060012963,19.005624955592197
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,15,32.20088128975154,36.59713130755269,4.396250017801144
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,12,37.202023987762985,40.23547756177518,3.033453574012192
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,49,40.833917444157,53.18370801821153,12.34979057405453
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,35,54.56668471161138,64.43852547853518,9.871840766923803
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,26,68.43760039913428,82.44078347586172,14.003183076727439
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,29,83.04131425754224,101.14956723923392,18.108252981691678
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,22,102.3577262815797,110.14316973439328,7.785443452813581
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,68,110.53192793379975,125.72448966842718,15.192561734627432
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,82,127.33887196215314,151.47269228591537,24.133820323762237
Selawik,2023-09-08 18:56:42+00:00,132.6893827562615,44,151.89312112103983,164.89026404601304,12.997142924973218
Selawik,2024-05-26 02:19:49+00:00,152.0818686375685,147,14.22168196256113,53.97595433134205,39.754272368780924
